origin_CBG,SEI,SEI_std,SEI_quintile,SEI_grp_rb
60377025015,1.37258170141933,1.64109030786605,5,3
60377025021,1.02247988382742,1.22431747814434,5,3
60377025022,1.03004794070186,1.23332674436509,5,3
60377025023,0.96815102258668,1.1596425975893,5,3
60377026001,1.14141223873015,1.36589850288514,5,3
60377026002,0.808202671327062,0.969234768740223,4,2
60377026003,0.768777893729104,0.922302204283211,4,2
60377026004,0.42215226820287,0.509667549032679,4,2
60377026005,0.807432916001753,0.968318426439206,4,2
60377026006,0.386781766377403,0.467561329088229,4,2
60377027001,0.741834722777842,0.89022815886331,4,2
60377027002,0.909859523028272,1.09025046079098,5,3
60377027003,0.624741861407599,0.750836928308858,4,2
60377027004,0.918380970091483,1.1003946743523,5,3
60377028011,0.253939185860135,0.309421109849922,4,2
60377028012,0.227140480361711,0.277519040902439,4,2
60377028013,1.17174911939798,1.40201253304878,5,3
60377028021,0.512862747280611,0.617652315609094,4,2
60377028022,0.748250250903934,0.897865416589253,4,2
60377028031,-0.151315600464398,-0.173007645351835,3,2
60377028032,0.0334770181121461,0.0469756243311623,3,2
60377028033,0.490543596538132,0.591082857398594,4,2
60377029011,1.37783505873981,1.64734407887202,5,3
60377029012,1.69441516689443,2.02421155250222,5,3
60377029013,1.10815488417735,1.32630784362674,5,3
60377029014,1.46309890813337,1.74884499660259,5,3
60377030011,1.10742299139672,1.32543657415623,5,3
60377030012,0.839660179184267,1.0066828307235,4,2
60377030013,0.643385854687364,0.773031357032381,4,2
60377030021,0.130396468797494,0.162351756894658,3,2
60377030022,0.214261767049509,0.262187792903728,4,2
60377030023,0.4894750801757,0.589810860037833,4,2
60377030024,0.403658513816836,0.487651969677333,4,2
60377031001,0.387898719860505,0.46889098760592,4,2
60377031002,0.168477700086294,0.207684919209227,4,2
60377031003,0.829916603062992,0.995083754147423,4,2
60377031004,0.128960306691032,0.160642101831551,3,2
60377031006,-0.670640295544709,-0.79122900793062,2,2
60377032001,0.170747952631384,0.210387503228665,4,2
60377032002,-0.151778046588979,-0.173558156575288,3,2
60377032004,0.40087682359173,0.484340553259958,4,2
60377032005,0.313059241792622,0.379799587670362,4,2
60377032006,0.419490651634674,0.506499072283854,4,2
60379800101,-0.225662305732178,-0.261512432182322,3,2
60379800151,-0.40284426467999,-0.47243571991112,3,2
60379800191,1.73312433018608,2.07029222592513,5,3
60379800241,0.699353930772753,0.839657613372977,4,2
421010001001,1.87825271515893,2.34782505899948,5,3
421010001002,1.74081106213861,2.17800143751245,5,3
421010002001,0.0667944145352055,0.10957775896754,3,2
421010003001,1.73636641228137,2.17250960502637,5,3
421010003002,1.45476749472221,1.82456451752329,5,3
421010004011,1.29061949332002,1.62174239304071,5,3
421010004021,1.4565777129901,1.82680123263243,5,3
421010004022,1.46150122725487,1.83288475247165,5,3
421010005001,0.146880462641567,0.208532496640812,4,2
421010006001,1.83858806743138,2.29881521391923,5,3
421010007001,1.2009462195081,1.51094162940987,5,3
421010007002,1.70586016759206,2.13481593038508,5,3
421010007003,1.07250615120646,1.35224041283033,5,3
421010008011,2.16814703346749,2.70601998682384,5,3
421010008031,1.7693916266761,2.21331573174015,5,3
421010008032,1.54172878175656,1.93201433618316,5,3
421010008033,1.89228027140465,2.3651575804725,5,3
421010008041,1.87676531253619,2.34598721658088,5,3
421010008042,1.63012955972966,2.04124279733564,5,3
421010008043,2.06627557926703,2.58014708804609,5,3
421010009011,1.27498020209122,1.60241840343785,5,3
421010009012,1.55231441896275,1.94509400458498,5,3
421010009021,1.05692931657734,1.33299359492696,5,3
421010009022,1.52984630646506,1.91733228789657,5,3
421010010011,1.70580189094943,2.13474392346228,5,3
421010010012,1.93334883743625,2.41590211431286,5,3
421010010021,1.76581136801388,2.20889194551147,5,3
421010010022,1.95682090293159,2.44490432054804,5,3
421010010023,1.7164287568038,2.14787453419627,5,3
421010011011,1.34476257842411,1.68864187066485,5,3
421010011013,1.42660834876938,1.78977093029116,5,3
421010011014,1.12238812001497,1.41387483299197,5,3
421010011021,1.92493861055911,2.4055103942308,5,3
421010011022,1.65564635313043,2.07277148000809,5,3
421010012011,1.80845019188587,2.2615766981084,5,3
421010012012,1.54944946591931,1.9415540537001,5,3
421010012013,1.58385033861679,1.98405995096938,5,3
421010012014,1.89177333338011,2.36453120521212,5,3
421010012021,1.84366987312169,2.30509431946734,5,3
421010012022,1.90580659014029,2.38187077027046,5,3
421010012023,1.72512343584496,2.15861772485201,5,3
421010012024,1.43648962039882,1.80198028092201,5,3
421010012025,1.90615312405495,2.38229894937819,5,3
421010013002,1.63904149158282,2.0522544266961,5,3
421010013003,1.30404931349401,1.63833634871388,5,3
421010013004,0.630245906359194,0.805781353518833,4,2
421010013005,1.56331309930599,1.95868403123571,5,3
421010014001,1.45871015217198,1.82943608557918,5,3
421010014002,1.65316669220683,2.06970759807091,5,3
421010014003,0.776587335309316,0.986601584444185,5,3
421010015001,1.51460179448461,1.89849608958673,5,3
421010015002,1.05828689046273,1.33467102028228,5,3
421010016001,1.7454932642926,2.18378679085222,5,3
421010016002,1.74489111020096,2.18304276612401,5,3
421010017001,1.67166495123525,2.09256414316023,5,3
421010017002,1.73946380989726,2.17633676563421,5,3
421010018001,1.72129044816317,2.15388166533197,5,3
421010018002,1.26780580346709,1.59355367917438,5,3
421010019001,1.27750393031346,1.60553673515848,5,3
421010019002,1.28323260797945,1.61261511908498,5,3
421010019003,1.13879647244869,1.43414907862054,5,3
421010020001,0.389677022598325,0.508533189228182,4,2
421010020002,-0.232689675370848,-0.26046634053171,3,2
421010021001,0.0361236724758189,0.0716808305200231,3,2
421010021002,0.176915014017996,0.245643344570801,4,2
421010022001,1.61783971604769,2.02605740254653,5,3
421010022002,0.555937075714008,0.713964975795509,4,2
421010022003,0.2045837575667,0.279830988041169,4,2
421010023001,0.872515618594396,1.10513107032062,5,3
421010023002,0.954958191101218,1.20699754180249,5,3
421010024001,1.80130579567314,2.25274904498053,5,3
421010024002,1.3844874625364,1.73772614413545,5,3
421010024003,0.962628310322786,1.21647478101505,5,3
421010024004,0.621582309578989,0.79507656826643,4,2
421010024005,1.1017948860742,1.38842972600221,5,3
421010025001,0.709914842814061,0.904220705865571,4,2
421010025002,1.24002173608355,1.55922354097373,5,3
421010025003,0.888372693769668,1.12472415490073,5,3
